[0]	train-mlogloss:2.13086	test-mlogloss:2.17304
[1]	train-mlogloss:2.00148	test-mlogloss:2.08118
[2]	train-mlogloss:1.89690	test-mlogloss:2.01109
[3]	train-mlogloss:1.80965	test-mlogloss:1.95715
[4]	train-mlogloss:1.73508	test-mlogloss:1.91280
[5]	train-mlogloss:1.66947	test-mlogloss:1.87719
[6]	train-mlogloss:1.61221	test-mlogloss:1.84998
[7]	train-mlogloss:1.56052	test-mlogloss:1.82694
[8]	train-mlogloss:1.51380	test-mlogloss:1.80897
[9]	train-mlogloss:1.47215	test-mlogloss:1.79351
[10]	train-mlogloss:1.43372	test-mlogloss:1.78167
[11]	train-mlogloss:1.39892	test-mlogloss:1.77222
[12]	train-mlogloss:1.36640	test-mlogloss:1.76441
[13]	train-mlogloss:1.33629	test-mlogloss:1.75910
[14]	train-mlogloss:1.31000	test-mlogloss:1.75524
[15]	train-mlogloss:1.28457	test-mlogloss:1.75296
[16]	train-mlogloss:1.26099	test-mlogloss:1.75169
[17]	train-mlogloss:1.24011	test-mlogloss:1.75270
[18]	train-mlogloss:1.21981	test-mlogloss:1.75428
[19]	train-mlogloss:1.20024	test-mlogloss:1.75692
[20]	train-mlogloss:1.18169	test-mlogloss:1.75964
[21]	train-mlogloss:1.16468	test-mlogloss:1.76328
[22]	train-mlogloss:1.14797	test-mlogloss:1.76723
[23]	train-mlogloss:1.13175	test-mlogloss:1.77122
[24]	train-mlogloss:1.11742	test-mlogloss:1.77592
[25]	train-mlogloss:1.10370	test-mlogloss:1.78076
[26]	train-mlogloss:1.09094	test-mlogloss:1.78579
[27]	train-mlogloss:1.07677	test-mlogloss:1.79150
[28]	train-mlogloss:1.06407	test-mlogloss:1.79652
[29]	train-mlogloss:1.05258	test-mlogloss:1.80299
Error Rate: 0.46499999999999997

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
