[0]	train-mlogloss:2.13106	test-mlogloss:2.17351
[1]	train-mlogloss:2.00065	test-mlogloss:2.08095
[2]	train-mlogloss:1.89642	test-mlogloss:2.01222
[3]	train-mlogloss:1.80731	test-mlogloss:1.95822
[4]	train-mlogloss:1.73286	test-mlogloss:1.91464
[5]	train-mlogloss:1.66687	test-mlogloss:1.87941
[6]	train-mlogloss:1.60833	test-mlogloss:1.85021
[7]	train-mlogloss:1.55618	test-mlogloss:1.82651
[8]	train-mlogloss:1.51059	test-mlogloss:1.80796
[9]	train-mlogloss:1.46808	test-mlogloss:1.79272
[10]	train-mlogloss:1.43010	test-mlogloss:1.78007
[11]	train-mlogloss:1.39474	test-mlogloss:1.77018
[12]	train-mlogloss:1.36238	test-mlogloss:1.76364
[13]	train-mlogloss:1.33285	test-mlogloss:1.75941
[14]	train-mlogloss:1.30557	test-mlogloss:1.75534
[15]	train-mlogloss:1.28072	test-mlogloss:1.75389
[16]	train-mlogloss:1.25785	test-mlogloss:1.75336
[17]	train-mlogloss:1.23511	test-mlogloss:1.75338
[18]	train-mlogloss:1.21493	test-mlogloss:1.75493
[19]	train-mlogloss:1.19601	test-mlogloss:1.75627
[20]	train-mlogloss:1.17777	test-mlogloss:1.76052
[21]	train-mlogloss:1.16097	test-mlogloss:1.76448
[22]	train-mlogloss:1.14399	test-mlogloss:1.76983
[23]	train-mlogloss:1.12880	test-mlogloss:1.77492
[24]	train-mlogloss:1.11515	test-mlogloss:1.78082
[25]	train-mlogloss:1.10085	test-mlogloss:1.78642
[26]	train-mlogloss:1.08790	test-mlogloss:1.79150
[27]	train-mlogloss:1.07619	test-mlogloss:1.79825
[28]	train-mlogloss:1.06399	test-mlogloss:1.80522
[29]	train-mlogloss:1.05339	test-mlogloss:1.81231
F1 Score: 0.3989795876822859
Precision: 0.5670872926093514
Recall: 0.542

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
