[0]	train-mlogloss:2.13027	test-mlogloss:2.17367
[1]	train-mlogloss:2.00006	test-mlogloss:2.08079
[2]	train-mlogloss:1.89634	test-mlogloss:2.01048
[3]	train-mlogloss:1.80912	test-mlogloss:1.95690
[4]	train-mlogloss:1.73432	test-mlogloss:1.91359
[5]	train-mlogloss:1.66870	test-mlogloss:1.87880
[6]	train-mlogloss:1.61155	test-mlogloss:1.85104
[7]	train-mlogloss:1.55914	test-mlogloss:1.82739
[8]	train-mlogloss:1.51268	test-mlogloss:1.80752
[9]	train-mlogloss:1.47165	test-mlogloss:1.79233
[10]	train-mlogloss:1.43421	test-mlogloss:1.77967
[11]	train-mlogloss:1.40042	test-mlogloss:1.77003
[12]	train-mlogloss:1.36891	test-mlogloss:1.76226
[13]	train-mlogloss:1.33967	test-mlogloss:1.75676
[14]	train-mlogloss:1.31431	test-mlogloss:1.75295
[15]	train-mlogloss:1.28976	test-mlogloss:1.74994
[16]	train-mlogloss:1.26649	test-mlogloss:1.74847
[17]	train-mlogloss:1.24517	test-mlogloss:1.74860
[18]	train-mlogloss:1.22476	test-mlogloss:1.74954
[19]	train-mlogloss:1.20546	test-mlogloss:1.75001
[20]	train-mlogloss:1.18747	test-mlogloss:1.75296
[21]	train-mlogloss:1.17055	test-mlogloss:1.75573
[22]	train-mlogloss:1.15426	test-mlogloss:1.75975
[23]	train-mlogloss:1.13917	test-mlogloss:1.76390
[24]	train-mlogloss:1.12453	test-mlogloss:1.76886
[25]	train-mlogloss:1.11061	test-mlogloss:1.77454
[26]	train-mlogloss:1.09770	test-mlogloss:1.78024
[27]	train-mlogloss:1.08473	test-mlogloss:1.78594
[28]	train-mlogloss:1.07324	test-mlogloss:1.79212
[29]	train-mlogloss:1.06047	test-mlogloss:1.79765
Log Loss: 1.7976460625745125

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
