[0]	train-mlogloss:2.12946	test-mlogloss:2.17367
[1]	train-mlogloss:2.00021	test-mlogloss:2.08073
[2]	train-mlogloss:1.89729	test-mlogloss:2.01104
[3]	train-mlogloss:1.81263	test-mlogloss:1.95663
[4]	train-mlogloss:1.74133	test-mlogloss:1.91332
[5]	train-mlogloss:1.67966	test-mlogloss:1.87827
[6]	train-mlogloss:1.62641	test-mlogloss:1.85027
[7]	train-mlogloss:1.57942	test-mlogloss:1.82738
[8]	train-mlogloss:1.53793	test-mlogloss:1.80942
[9]	train-mlogloss:1.50116	test-mlogloss:1.79569
[10]	train-mlogloss:1.46858	test-mlogloss:1.78427
[11]	train-mlogloss:1.43915	test-mlogloss:1.77627
[12]	train-mlogloss:1.41194	test-mlogloss:1.77003
[13]	train-mlogloss:1.38762	test-mlogloss:1.76530
[14]	train-mlogloss:1.36513	test-mlogloss:1.76214
[15]	train-mlogloss:1.34535	test-mlogloss:1.76112
[16]	train-mlogloss:1.32705	test-mlogloss:1.76216
[17]	train-mlogloss:1.31008	test-mlogloss:1.76183
[18]	train-mlogloss:1.29418	test-mlogloss:1.76298
[19]	train-mlogloss:1.27949	test-mlogloss:1.76546
[20]	train-mlogloss:1.26622	test-mlogloss:1.76898
[21]	train-mlogloss:1.25395	test-mlogloss:1.77262
[22]	train-mlogloss:1.24196	test-mlogloss:1.77582
[23]	train-mlogloss:1.23125	test-mlogloss:1.78056
[24]	train-mlogloss:1.22111	test-mlogloss:1.78612
[25]	train-mlogloss:1.21133	test-mlogloss:1.79167
[26]	train-mlogloss:1.20282	test-mlogloss:1.79742
[27]	train-mlogloss:1.19390	test-mlogloss:1.80367
[28]	train-mlogloss:1.18614	test-mlogloss:1.80941
[29]	train-mlogloss:1.17850	test-mlogloss:1.81558
F1 Score: 0.4007500339443313
Precision: 0.3413717532467533
Recall: 0.534

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
