[0]	train-mlogloss:2.13019	test-mlogloss:2.17420
[1]	train-mlogloss:1.99911	test-mlogloss:2.08467
[2]	train-mlogloss:1.89374	test-mlogloss:2.01564
[3]	train-mlogloss:1.80475	test-mlogloss:1.96238
[4]	train-mlogloss:1.72914	test-mlogloss:1.91857
[5]	train-mlogloss:1.66365	test-mlogloss:1.88301
[6]	train-mlogloss:1.60455	test-mlogloss:1.85522
[7]	train-mlogloss:1.55191	test-mlogloss:1.83265
[8]	train-mlogloss:1.50568	test-mlogloss:1.81466
[9]	train-mlogloss:1.46424	test-mlogloss:1.80027
[10]	train-mlogloss:1.42519	test-mlogloss:1.78906
[11]	train-mlogloss:1.39012	test-mlogloss:1.78025
[12]	train-mlogloss:1.35747	test-mlogloss:1.77347
[13]	train-mlogloss:1.32750	test-mlogloss:1.76783
[14]	train-mlogloss:1.30004	test-mlogloss:1.76540
[15]	train-mlogloss:1.27427	test-mlogloss:1.76333
[16]	train-mlogloss:1.25084	test-mlogloss:1.76352
[17]	train-mlogloss:1.22789	test-mlogloss:1.76472
[18]	train-mlogloss:1.20681	test-mlogloss:1.76656
[19]	train-mlogloss:1.18761	test-mlogloss:1.76913
[20]	train-mlogloss:1.16892	test-mlogloss:1.77275
[21]	train-mlogloss:1.15027	test-mlogloss:1.77802
[22]	train-mlogloss:1.13430	test-mlogloss:1.78248
[23]	train-mlogloss:1.11850	test-mlogloss:1.78772
[24]	train-mlogloss:1.10362	test-mlogloss:1.79479
[25]	train-mlogloss:1.08882	test-mlogloss:1.80060
[26]	train-mlogloss:1.07500	test-mlogloss:1.80749
[27]	train-mlogloss:1.06133	test-mlogloss:1.81388
[28]	train-mlogloss:1.04917	test-mlogloss:1.82061
[29]	train-mlogloss:1.03714	test-mlogloss:1.82831
Error Rate: 0.471

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
