[0]	train-mlogloss:2.13162	test-mlogloss:2.17220
[1]	train-mlogloss:2.00106	test-mlogloss:2.08399
[2]	train-mlogloss:1.89509	test-mlogloss:2.01499
[3]	train-mlogloss:1.80554	test-mlogloss:1.96246
[4]	train-mlogloss:1.73071	test-mlogloss:1.91976
[5]	train-mlogloss:1.66477	test-mlogloss:1.88504
[6]	train-mlogloss:1.60548	test-mlogloss:1.85605
[7]	train-mlogloss:1.55277	test-mlogloss:1.83393
[8]	train-mlogloss:1.50611	test-mlogloss:1.81576
[9]	train-mlogloss:1.46359	test-mlogloss:1.80092
[10]	train-mlogloss:1.42544	test-mlogloss:1.79103
[11]	train-mlogloss:1.39046	test-mlogloss:1.78193
[12]	train-mlogloss:1.35876	test-mlogloss:1.77586
[13]	train-mlogloss:1.32998	test-mlogloss:1.77300
[14]	train-mlogloss:1.30308	test-mlogloss:1.76993
[15]	train-mlogloss:1.27869	test-mlogloss:1.76969
[16]	train-mlogloss:1.25550	test-mlogloss:1.77067
[17]	train-mlogloss:1.23340	test-mlogloss:1.77095
[18]	train-mlogloss:1.21365	test-mlogloss:1.77368
[19]	train-mlogloss:1.19533	test-mlogloss:1.77670
[20]	train-mlogloss:1.17728	test-mlogloss:1.78042
[21]	train-mlogloss:1.16013	test-mlogloss:1.78400
[22]	train-mlogloss:1.14411	test-mlogloss:1.79061
[23]	train-mlogloss:1.12934	test-mlogloss:1.79681
[24]	train-mlogloss:1.11496	test-mlogloss:1.80236
[25]	train-mlogloss:1.10130	test-mlogloss:1.80906
[26]	train-mlogloss:1.08776	test-mlogloss:1.81601
[27]	train-mlogloss:1.07532	test-mlogloss:1.82368
[28]	train-mlogloss:1.06382	test-mlogloss:1.83051
[29]	train-mlogloss:1.05313	test-mlogloss:1.83824
F1 Score: 0.3963040975601391
Precision: 0.6681662337662337
Recall: 0.528

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
