[0]	train-mlogloss:2.13204	test-mlogloss:2.17399
[1]	train-mlogloss:2.00187	test-mlogloss:2.08187
[2]	train-mlogloss:1.89527	test-mlogloss:2.01498
[3]	train-mlogloss:1.80579	test-mlogloss:1.96244
[4]	train-mlogloss:1.72968	test-mlogloss:1.91999
[5]	train-mlogloss:1.66350	test-mlogloss:1.88392
[6]	train-mlogloss:1.60518	test-mlogloss:1.85560
[7]	train-mlogloss:1.55250	test-mlogloss:1.83311
[8]	train-mlogloss:1.50577	test-mlogloss:1.81486
[9]	train-mlogloss:1.46347	test-mlogloss:1.80047
[10]	train-mlogloss:1.42576	test-mlogloss:1.78874
[11]	train-mlogloss:1.39066	test-mlogloss:1.77983
[12]	train-mlogloss:1.35920	test-mlogloss:1.77428
[13]	train-mlogloss:1.32913	test-mlogloss:1.76897
[14]	train-mlogloss:1.30255	test-mlogloss:1.76562
[15]	train-mlogloss:1.27781	test-mlogloss:1.76493
[16]	train-mlogloss:1.25417	test-mlogloss:1.76507
[17]	train-mlogloss:1.23217	test-mlogloss:1.76650
[18]	train-mlogloss:1.21259	test-mlogloss:1.76930
[19]	train-mlogloss:1.19278	test-mlogloss:1.77294
[20]	train-mlogloss:1.17369	test-mlogloss:1.77686
[21]	train-mlogloss:1.15631	test-mlogloss:1.78143
[22]	train-mlogloss:1.13981	test-mlogloss:1.78703
[23]	train-mlogloss:1.12375	test-mlogloss:1.79238
[24]	train-mlogloss:1.10867	test-mlogloss:1.79874
[25]	train-mlogloss:1.09610	test-mlogloss:1.80480
[26]	train-mlogloss:1.08069	test-mlogloss:1.81025
[27]	train-mlogloss:1.06715	test-mlogloss:1.81687
[28]	train-mlogloss:1.05393	test-mlogloss:1.82399
[29]	train-mlogloss:1.04264	test-mlogloss:1.83117
Log Loss: 1.831174265221856

Numeric Label - Original Label
ab - 0
no - 1
bo - 2
re - 3
po - 4
le - 5
ed - 6
se - 7
ra - 8
BLANK - 9
